category_1,brand_1,category_2,brand_2,num_households
pasta,Private Label,pasta sauce,Ragu,137494
pasta sauce,Prego,pasta,Private Label,81117
pasta,Barilla,pasta,Private Label,77288
pasta,Barilla,pasta sauce,Ragu,66060
pasta sauce,Prego,pasta sauce,Ragu,60190
pasta,Creamette,pasta,Private Label,58638
syrups,Private Label,pasta sauce,Ragu,54439
pasta sauce,Hunt's,pasta,Private Label,52369
pasta,Mueller,pasta,Private Label,50454
pasta,Mueller,pasta sauce,Ragu,49733
pasta,Creamette,pasta sauce,Ragu,48942
pasta,Private Label,pasta,Private Label Premium,48858
pasta sauce,Private Label,pasta sauce,Ragu,48546
pasta,Barilla,pasta sauce,Prego,43420
pasta,Private Label,pasta,Ronzoni,41405
pasta,Private Label Premium,pasta sauce,Ragu,39653
pasta sauce,Classico,pasta,Private Label,39048
syrups,Aunt Jemima,pasta,Private Label,38896
pasta sauce,Ragu,pasta,Ronzoni,36750
pasta,Barilla,pasta,Private Label Premium,35148
pancake mixes,Aunt Jemima,pasta,Private Label,34259
syrups,Aunt Jemima,pasta sauce,Ragu,33862
pasta sauce,Hunt's,pasta sauce,Ragu,33825
pasta sauce,Prego,syrups,Private Label,31915
pasta,Barilla,pasta,Ronzoni,31351
pasta,Barilla,syrups,Private Label,31261
pasta,Mueller,pasta sauce,Prego,30897
pasta,Barilla,pasta,Mueller,30605
pasta,Private Label,pasta,San Giorgio,30540
pasta,Barilla,pasta,Creamette,30047
pasta sauce,Classico,pasta sauce,Ragu,29694
pasta,Creamette,pasta sauce,Prego,29521
pasta,Barilla,pasta sauce,Classico,29414
pancake mixes,Aunt Jemima,pasta sauce,Ragu,29408
pasta,Barilla,pasta sauce,Private Label,27662
pasta sauce,Prego,pasta sauce,Private Label,27092
pasta sauce,Bertolli,pasta,Private Label,26673
pasta,Mueller,pasta,Ronzoni,26317
pasta sauce,Prego,pasta,Private Label Premium,25394
pasta,Creamette,syrups,Private Label,24957
pasta sauce,Prego,pasta,Ronzoni,24618
pasta sauce,Hunt's,pasta sauce,Private Label,24355
pasta sauce,Ragu,pasta,San Giorgio,24016
pancake mixes,Hungry Jack,pasta,Private Label,23551
pasta sauce,Hunt's,syrups,Private Label,23518
syrups,Aunt Jemima,pasta,Barilla,23354
pasta,Barilla,pasta sauce,Hunt's,22186
syrups,Aunt Jemima,pasta sauce,Prego,21979
pasta,Barilla,pasta sauce,Bertolli,21772
pasta sauce,Bertolli,pasta sauce,Ragu,20472
pasta,Mueller,syrups,Private Label,20247
pasta,Creamette,pasta sauce,Hunt's,20207
syrups,Mrs Butterworth,pasta,Private Label,20180
syrups,Private Label,pasta,Private Label Premium,20050
pasta sauce,Classico,pasta sauce,Prego,20035
pancake mixes,Hungry Jack,pasta sauce,Ragu,19896
syrups,Aunt Jemima,pasta,Mueller,19738
pasta sauce,Classico,pasta,Private Label Premium,19309
pasta sauce,Private Label,pasta,Private Label Premium,19201
pasta,Mueller,pasta sauce,Private Label,19175
pasta sauce,Barilla,pasta,Private Label,19159
pasta,No Yolks,pasta,Private Label,19114
syrups,Karo,pasta,Private Label,19006
pancake mixes,Aunt Jemima,pasta,Barilla,18881
pasta sauce,Hunt's,pasta sauce,Prego,18767
pancake mixes,Aunt Jemima,pasta sauce,Prego,18456
pancake mixes,Aunt Jemima,syrups,Private Label,18444
pasta,Creamette,pasta sauce,Private Label,18389
pasta,Creamette,pasta,Private Label Premium,18099
syrups,Northwoods,pasta,Private Label,17905
pasta,Barilla,pasta,San Giorgio,17540
pasta,Private Label Premium,pasta,Ronzoni,17539
syrups,Mrs Butterworth,pasta sauce,Ragu,17246
pasta,Creamette,pasta,San Giorgio,17040
pancake mixes,Private Label,pasta sauce,Ragu,17028
pasta sauce,Classico,pasta,Ronzoni,16555
pasta,Mueller,pasta,Private Label Premium,16458
syrups,Aunt Jemima,syrups,Private Label,16306
pasta sauce,Bertolli,pasta sauce,Classico,16267
pasta sauce,Private Label,pasta,Ronzoni,16186
pasta sauce,Prego,pasta,San Giorgio,16017
pancake mixes,Aunt Jemima,pasta,Mueller,15999
syrups,Private Label,pasta,Ronzoni,15860
pasta,Private Label,pasta,Private Label Value,15600
syrups,Aunt Jemima,pasta,Ronzoni,15433
pasta sauce,Classico,pasta,Mueller,15075
pasta,No Yolks,pasta sauce,Ragu,14887
syrups,Northwoods,pasta sauce,Ragu,14827
syrups,Karo,pasta sauce,Ragu,14713
pasta sauce,Bertolli,pasta sauce,Prego,14455
pasta sauce,Classico,syrups,Private Label,14442
pasta sauce,Hunt's,pasta,Private Label Premium,14365
pasta sauce,Barilla,pasta sauce,Ragu,14286
syrups,Log Cabin,pasta,Private Label,14285
pasta sauce,Hunt's,pasta,Mueller,14135
pasta sauce,Classico,pasta,Creamette,13526
pasta sauce,Bertolli,pasta,Private Label Premium,13492
syrups,Aunt Jemima,pasta,Private Label Premium,13297
pancake mixes,Hungry Jack,syrups,Private Label,13291
syrups,Aunt Jemima,pasta,Creamette,13195
pancake mixes,Hungry Jack,pasta sauce,Prego,12765
pasta,Barilla,pancake mixes,Hungry Jack,12701
syrups,Hungry Jack,pasta,Private Label,12490
pasta sauce,Classico,pasta sauce,Private Label,12446
pasta,Private Label,pasta sauce,Private Label Premium,12444
pasta sauce,Newman's,pasta,Private Label,12426
pasta sauce,Bertolli,pasta,Ronzoni,12421
syrups,Private Label,pasta,San Giorgio,12361
pancake mixes,Aunt Jemima,pasta,Creamette,12344
syrups,Aunt Jemima,pasta sauce,Private Label,12113
pancake mixes,Aunt Jemima,pasta,Ronzoni,11854
pasta,Hodgson Mills,pasta,Private Label,11845
pasta,Barilla,syrups,Mrs Butterworth,11747
pasta,Barilla,pasta,No Yolks,11675
syrups,Log Cabin,pasta sauce,Ragu,11645
pancake mixes,Aunt Jemima,pasta sauce,Private Label,11553
pasta sauce,Bertolli,pasta,Mueller,11470
pasta,Private Label Value,pasta sauce,Ragu,11309
syrups,Mrs Butterworth,pasta sauce,Prego,11285
syrups,Aunt Jemima,pasta sauce,Classico,11236
pasta,Private Label Premium,pasta,San Giorgio,11233
pasta,Mueller,syrups,Northwoods,11205
pasta,Barilla,syrups,Karo,11145
pasta sauce,Barilla,pasta sauce,Prego,11092
pasta sauce,Private Label Premium,pasta sauce,Ragu,10940
pancake mixes,Aunt Jemima,pasta,Private Label Premium,10835
pasta sauce,Barilla,pasta sauce,Classico,10464
syrups,Hungry Jack,pasta sauce,Ragu,10425
syrups,Aunt Jemima,pancake mixes,Hungry Jack,10265
pasta sauce,Hunt's,pasta,Ronzoni,10085
