day,category,total_households,total_couponed,total_non_couponed,coupon_rate,without_coupon_rate
553,pasta sauce,5300,281,8138,3.34,96.66
559,pasta,4940,7,5864,0.12,99.88
553,pasta,4938,8,6089,0.13,99.87
494,pasta,4895,13,5389,0.24,99.76
130,pasta,4784,43,5307,0.80,99.20
189,pasta sauce,4728,369,6565,5.32,94.68
189,pasta,4506,40,5413,0.73,99.27
441,pasta sauce,4377,259,6117,4.06,95.94
539,pasta,4317,5,5290,0.09,99.91
616,pasta,4304,19,4958,0.38,99.62
522,pasta,4300,8,4970,0.16,99.84
158,pasta,4169,17,4615,0.37,99.63
547,pasta sauce,4160,183,5984,2.97,97.03
266,pasta,4146,7,4860,0.14,99.86
547,pasta,4095,5,4965,0.10,99.90
183,pasta sauce,4080,225,5560,3.89,96.11
441,pasta,4079,64,4875,1.30,98.70
157,pasta,4067,23,4637,0.49,99.51
523,pasta,4050,4,4598,0.09,99.91
540,pasta,3993,0,4787,0.00,100.00
521,pasta,3949,12,4596,0.26,99.74
524,pasta,3941,6,4434,0.14,99.86
546,pasta,3917,6,4704,0.13,99.87
531,pasta,3876,17,4622,0.37,99.63
183,pasta,3861,26,4591,0.56,99.44
175,pasta,3855,34,4562,0.74,99.26
623,pasta,3855,8,4662,0.17,99.83
548,pasta sauce,3850,199,5655,3.40,96.60
196,pasta,3833,30,4555,0.65,99.35
552,pasta sauce,3825,214,6063,3.41,96.59
536,pasta,3821,11,4626,0.24,99.76
550,pasta sauce,3809,238,5743,3.98,96.02
559,pasta sauce,3802,109,4707,2.26,97.74
493,pasta,3795,11,4277,0.26,99.74
57,pasta,3788,66,4433,1.47,98.53
575,pasta,3759,6,4591,0.13,99.87
78,pasta,3744,103,4504,2.24,97.76
644,pasta,3731,14,4473,0.31,99.69
491,pasta,3725,21,4280,0.49,99.51
435,pasta,3721,63,4334,1.43,98.57
184,pasta sauce,3719,286,4885,5.53,94.47
182,pasta,3717,21,4416,0.47,99.53
203,pasta,3712,6,4410,0.14,99.86
596,pasta,3710,18,4482,0.40,99.60
651,pasta,3703,18,4409,0.41,99.59
129,pasta,3702,47,4171,1.11,98.89
147,pasta,3695,42,4312,0.96,99.04
518,pasta,3688,17,4358,0.39,99.61
588,pasta,3658,11,4429,0.25,99.75
722,pasta,3655,17,4361,0.39,99.61
99,pasta,3628,43,4291,0.99,99.01
589,pasta,3623,7,4334,0.16,99.84
505,pasta,3622,23,4347,0.53,99.47
483,pasta,3618,33,4248,0.77,99.23
581,pasta,3616,5,4431,0.11,99.89
176,pasta,3608,16,4286,0.37,99.63
519,pasta,3605,11,4234,0.26,99.74
645,pasta,3590,13,4262,0.30,99.70
442,pasta,3553,39,4166,0.93,99.07
239,pasta,3550,40,4240,0.93,99.07
50,pasta,3549,54,4206,1.27,98.73
449,pasta,3542,31,4246,0.72,99.28
169,pasta,3540,29,4242,0.68,99.32
127,pasta,3538,88,3972,2.17,97.83
210,pasta,3520,29,4125,0.70,99.30
603,pasta,3520,16,4212,0.38,99.62
548,pasta,3520,5,4327,0.12,99.88
421,pasta,3510,14,4211,0.33,99.67
582,pasta,3504,17,4240,0.40,99.60
204,pasta,3504,8,4142,0.19,99.81
511,pasta,3494,18,4133,0.43,99.57
22,pasta,3491,11,4229,0.26,99.74
477,pasta,3488,23,4077,0.56,99.44
455,pasta,3480,39,4182,0.92,99.08
128,pasta,3480,30,3926,0.76,99.24
490,pasta,3473,24,3939,0.61,99.39
393,pasta,3464,17,4105,0.41,99.59
484,pasta,3461,17,4027,0.42,99.58
172,pasta,3451,58,4064,1.41,98.59
78,pasta sauce,3448,99,4740,2.05,97.95
554,pasta,3442,4,4113,0.10,99.90
186,pasta sauce,3439,335,4678,6.68,93.32
156,pasta,3437,26,3922,0.66,99.34
211,pasta,3437,14,4064,0.34,99.66
246,pasta,3436,16,4099,0.39,99.61
288,pasta,3435,25,4062,0.61,99.39
602,pasta,3432,12,4129,0.29,99.71
456,pasta,3430,27,4110,0.65,99.35
141,pasta,3424,39,3984,0.97,99.03
609,pasta,3421,14,4138,0.34,99.66
534,pasta,3419,7,4142,0.17,99.83
540,pasta sauce,3409,139,4126,3.26,96.74
140,pasta,3406,50,4045,1.22,98.78
386,pasta,3398,7,4045,0.17,99.83
567,pasta,3397,0,4127,0.00,100.00
